full_text,precinct,shape_area,shape_len,ward,TOTPOP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER,NH_2MORE,HISP,H_WHITE,H_BLACK,H_AMIN,H_ASIAN,H_NHPI,H_OTHER,H_2MORE,VAP,HVAP,WVAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHERVAP,2MOREVAP,TOTHH,LESS_10K,10K_15K,15K_20K,20K_25K,25K_30K,30K_35K,35K_40K,40K_45K,45K_50K,50K_60K,60K_75K,75K_100K,100K_125K,125K_150K,150K_200K,200K_MORE,JOINID,TOTV_19,JOYCE_19,VALLAS_19,WILSON_19,PRECK_19,DALEY_19,MCCART_19,CHICO_19,MEND_19,ENYIA_19,FORD_19,SALGRIF_19,LHGTFT_19,FIORETTI_1,KOZLAR_19,TOTV_RO15,RO_E15,RO_G15,TOTV_G15,EMAN_G15,WILS_G15,FIORET_G15,GARCIA_G15,WALLS_G15,TOTPOP19,NH_WHITE19,NH_BLACK19,NH_AMIN19,NH_ASIAN19,NH_NHPI19,NH_OTHER19,NH_2MORE19,HISP19,H_WHITE19,H_BLACK19,H_AMIN19,H_ASIAN19,H_NHPI19,H_OTHER19,H_2MORE19,Ward_Prec,MAY19LL,MAY19TP,COUNTY,HVAP_pct,WVAP_pct,BVAP_pct,AMINVAP_pct,ASIANVAP_pct,NHPIVAP_pct,OTHERVAP_pct,2MOREVAP_pct,LESS_10K_pct,10K_15K_pct,15K_20K_pct,20K_25K_pct,25K_30K_pct,30K_35K_pct,35K_40K_pct,40K_45K_pct,45K_50K_pct,50K_60K_pct,60K_75K_pct,75K_100K_pct,100K_125K_pct,125K_150K_pct,150K_200K_pct,200K_MORE_pct,GARCIA_G15_pct,EMAN_G15_pct
43012,12,122863.4128,1627.768903,43,804.9994046,685.9994926,13.99998964,0,51.99996154,0.99999926,3.999997041,16.99998743,30.99997707,29.99997781,0,0,0,0,0.99999926,0,763.9994349,30.99997707,655.9995148,13.99998964,0,50.99996228,0.99999926,0.99999926,9.999992603,232.0839788,5.460800621,11.4676783,13.92503871,2.19E-08,8.464239168,1.03E-06,1.13E-06,6.14E-08,12.28679847,36.86039537,33.31087528,34.67607713,21.57015754,31.67263655,7.099040036,15.29023937,C43012,227,4,27,2,33,54,4,7,20,12,0,3,56,3,1,220,187,33,273,168,10,29,66,0,805,612.8977273,26.29971591,0,30.87357955,0,0,28.01491477,106.9140625,73.75355114,0,0,0,0,33.16051136,0,43-12,181,41,Cook,0.040575916,0.858638743,0.018324607,0,0.066753927,0.001308901,0.001308901,0.013089005,0.023529417,0.049411762,0.06,9.45E-11,0.036470588,4.42E-09,4.85E-09,2.65E-10,0.052941175,0.158823524,0.143529405,0.149411766,0.092941174,0.136470586,0.030588238,0.065882356,0.241758242,0.615384615
15007,7,1846635.584,6603.803902,15,1075.999941,6,1028.999941,3,0,0,2,16,19.9999992,2,2,0,0,0,10.9999992,5,726.9999599,10,6,697.9999599,3,0,0,2,8,213.7347497,30.85146556,11.39818952,35.05457492,10.49077112,15.27141989,9.293438098,13.96558713,16.57394792,13.19091859,6.550219863,19.07257421,12.21707037,19.80457188,2.33E-07,3.47E-07,0,C15007,159,5,8,63,24,12,0,3,7,16,2,0,16,1,0,225,121,104,249,56,2,4,187,0,1076,0,999.3982836,0,0,0,0,0,76.60171645,0,0,0,0,0,76.60171645,0,15-7,130,60,Cook,0.013755159,0.008253095,0.960110039,0.004126548,0,0,0.002751032,0.011004127,0.14434464,0.053328668,0.164009713,0.049083133,0.071450337,0.043481175,0.065340742,0.07754447,0.061716303,0.03064649,0.089234784,0.057159963,0.092659579,1.09E-09,1.62E-09,0,0.751004016,0.224899598
35015,15,1454430.907,7819.732028,35,1840.000072,462.000001,60.00000044,9,28.99999863,0,4.00000286,17.00000073,1259.000069,623.0000285,28.00000099,8.999999762,0.999999754,0,541.0000381,57.00000168,1398.000055,880.0000501,431.0000022,46.00000044,3,26.99999863,0,3.00000286,8.000000719,508.3074754,9.75528599,11.3888487,33.52804926,17.56210239,18.84417879,45.11454462,18.8072279,16.37586671,18.09767954,41.38796802,69.44538682,56.03304987,47.4244126,61.04851205,25.31596003,18.17840209,C35015,329,5,9,10,80,29,8,22,34,55,0,1,73,0,0,322,76,246,293,157,8,44,83,1,1840,626.991286,25.2545191,0,63.76064635,0,13.04347826,16.31677461,1094.633296,695.3574181,28.15188204,0,3.941675504,0,308.2428567,58.93946343,35-15,144,133,Cook,0.629470683,0.308297557,0.032904148,0.002145923,0.019313303,0,0.002145925,0.005722461,0.019191703,0.022405432,0.065960173,0.034550156,0.037072401,0.088754439,0.036999707,0.032216459,0.035603804,0.081423095,0.136620825,0.110234558,0.093298672,0.120101543,0.049804422,0.03576261,0.283276451,0.535836177
5027,27,7427976.282,12315.49286,5,2061.000045,1345.000021,104.0000045,1,365.0000124,0,6.00000005,96.0000015,144.0000062,85.00000364,4.000000063,2,3.000000151,0,33.00000156,17.00000081,1904.000045,139.0000062,1246.00002,95.00000443,1,345.0000121,0,6.00000005,72.00000145,477.8786621,98.08735063,11.31078434,9.179726388,18.05649921,3.835908743,13.25576502,18.93232116,13.42222543,2.48E-06,17.15380414,27.58515179,42.24641555,28.90990725,26.10114288,22.938658,126.8629991,C05027,336,2,9,1,114,44,0,4,10,34,2,1,113,0,0,292,153,139,166,63,57,3,35,8,2061,1343.004347,131.7337809,0,334.2467153,0,0.42,58.56303272,193.0321239,177.9778901,3.089983022,0,0,0,7.638274533,4.325976231,27-May,158,176,Cook,0.073004203,0.65441176,0.049894959,0.00052521,0.181197481,0,0.00315126,0.037815126,0.205255766,0.023668737,0.019209325,0.037784694,0.008026951,0.027738767,0.039617423,0.028087099,5.20E-09,0.035895731,0.057724176,0.088404063,0.060496334,0.054618766,0.048001009,0.265471152,0.210843373,0.379518072
47015,15,2860998.205,7218.202537,47,1361.999903,861.9999487,87.99998965,2.999999864,203.9999804,0,5.000000008,26.99999827,172.9999858,113.9999907,1.999999697,1,2,0,40.99999624,12.99999925,1264.99991,148.9999878,835.9999495,75.99999136,2.999999864,177.999983,0,3.000000008,19.99999875,850.8564713,127.6797508,11.27281448,12.11267624,49.64383913,59.44955383,44.98444718,46.85328544,17.39198963,66.50078416,104.1714632,43.46428712,89.01188482,97.82794303,29.90007495,21.88668386,28.70499343,C47015,464,11,13,7,107,22,5,16,30,80,2,2,166,0,3,350,142,208,207,73,51,13,58,12,1362,846.486713,59.82890844,0,168.4195726,0,0,72.12328103,215.1415249,166.5765323,0,0,0,0,36.10668585,12.45830671,47-15,259,173,Cook,0.11778656,0.660869572,0.060079049,0.002371542,0.140711459,0,0.002371542,0.015810277,0.150060269,0.013248785,0.014235863,0.058345727,0.069870249,0.052869607,0.055066027,0.020440568,0.078157464,0.122431299,0.051082984,0.104614454,0.114975846,0.03514115,0.025723121,0.033736587,0.280193237,0.352657005
47030,30,1624898.152,5751.276387,47,1234.999908,676.999969,72.99999308,2.999999997,110.9999992,0,0,18.99999922,351.999947,137.9999754,9,10.99999923,1,0,173.9999739,18.99999846,1074.999925,258.9999639,632.9999698,65.99999308,2.999999997,96.99999921,0,0,16.99999922,697.0039114,14.22431701,11.21691788,40.19755601,55.46976788,51.76035742,12.01273707,26.12713312,29.12353639,21.8138908,86.54693987,32.14192933,90.99795441,64.54692923,61.69853982,39.91250444,59.2129007,C47030,499,18,27,4,85,58,10,21,49,66,1,2,150,5,2,351,202,149,184,74,40,9,47,14,1235,894.1452286,82.28626339,0,101.4772071,0,0,17.85742453,139.2338764,119.9742146,0,0,0,0,7.139421316,12.12024048,47-30,348,135,Cook,0.240930216,0.588837222,0.061395347,0.002790698,0.090232564,0,0,0.015813954,0.020407801,0.016093049,0.057671923,0.079583152,0.074261215,0.01723482,0.037484916,0.041783892,0.031296655,0.124169949,0.046114417,0.130555873,0.092606265,0.088519646,0.057262956,0.08495347,0.255434783,0.402173913
10022,22,12921524.26,24718.00469,10,1406,102,80,0,0,4,0,14,1206,489,5,13,0,0,636,63,902,755,89,48,0,0,2,0,8,204.5376751,20.33864363,11.12869154,11.51243959,25.71111408,23.79237462,8.442455643,10.7449444,2.302488544,6.139967702,25.71111476,27.62985429,5.372471972,13.04743119,8.82620334,3.83747983,0,C10022,125,4,4,3,9,13,1,31,44,7,0,0,6,2,1,190,40,150,249,109,70,8,45,17,1406,111.7211394,55.50924538,0,0,0,0,0,1238.769615,992.13993,30.91654173,0,0,0,182.6886557,33.02448776,22-Oct,83,21,Cook,0.837028825,0.098669623,0.053215078,0,0,0.002217295,0,0.00886918,0.099437151,0.054409006,0.056285179,0.125703561,0.1163227,0.041275797,0.052532837,0.011257039,0.030018762,0.125703564,0.135084425,0.026266418,0.063789867,0.043151969,0.018761726,0,0.180722892,0.437751004
8055,55,2568812.139,7531.149501,8,587.0000003,6.000000007,575.0000003,0,0,0,0,4,2,0,2,0,0,0,0,0,450.0000002,2,5.000000007,441.0000002,0,0,0,0,2,249.8457796,111.0644753,11.0946275,12.20986058,12.34226623,37.75588568,18.6372814,1.823012051,11.32108344,14.40451916,2.01E-07,6.632568396,9.142051397,0.797568226,1.72E-07,2.620579824,0,C08055,239,1,1,73,73,25,1,4,5,19,4,3,26,1,0,187,120,67,293,125,7,52,108,1,587,1.26,585.74,0,0,0,0,0,0,0,0,0,0,0,0,0,Aug-55,172,73,Cook,0.004444444,0.011111111,0.98,0,0,0,0,0.004444444,0.444532125,0.044405903,0.048869589,0.049399539,0.151116764,0.074595142,0.007296549,0.045312286,0.057653642,8.03E-10,0.02654665,0.036590778,0.003192242,6.88E-10,0.01048879,0,0.368600683,0.42662116
10020,20,3770523.619,11359.84884,10,1309.014738,341.694388,23,3,3,0,0,3,935.3203502,508.0819269,6,11,0,0,401.2364716,9.001951687,973.5065853,620.8121973,327.694388,19,2,2,0,0,2,531.2913716,28.90814005,11.07275311,30.23741442,30.42361961,81.25688521,39.95318344,10.27977393,24.48297612,7.857498951,30.28726376,31.39702584,90.63904231,47.9591523,30.83439555,10.34705641,25.35519064,C10020,297,16,18,9,12,46,32,81,52,6,1,0,20,1,2,412,173,239,260,114,73,7,51,15,1311,236.8063044,37.63383637,0,4.308181818,0,0,7.426252646,1024.825425,940.3255312,2.883427552,9.392025406,0,0,43.3461303,28.87831032,20-Oct,211,42,Cook,0.63770724,0.3366124,0.019517074,0.002054429,0.002054429,0,0,0.002054429,0.054411085,0.020841206,0.056913054,0.05726353,0.152942226,0.075200136,0.019348656,0.046082013,0.014789435,0.057006881,0.059095682,0.170601382,0.090269022,0.058036695,0.019475295,0.047723701,0.196153846,0.438461538
19054,54,3111083.732,7335.993397,19,800.0000606,721.0000518,6.000000123,0,4.000000251,0,0,5.000001433,64.00000705,47.00000509,1,5.00000067,1.03E-06,0,7.00000014,4.000000117,591.0000445,30.00000393,553.0000392,3.999999959,0,4.000000251,0,0,1.19E-06,263.6284613,7.046931772,11.04071737,3.15766081,3.494563552,3.57E-07,1.10E-07,13.07206023,3.157661392,3.494563384,36.61671554,17.24042974,22.16259889,34.68989355,34.42188719,55.78280766,18.24996981,C19054,332,216,28,8,4,29,8,13,14,0,0,0,10,1,1,279,146,133,234,109,65,7,44,9,800,722.5200154,15.41959556,0,0,0,0,18.01005025,44.05033882,44.05033882,0,0,0,0,0,0,19-54,250,14,Cook,0.050761424,0.935702195,0.006768189,0,0.006768189,0,0,2.01E-09,0.026730542,0.041879838,0.011977693,0.013255638,1.35E-09,4.17E-10,0.049585163,0.011977695,0.013255638,0.138895153,0.065396694,0.08406755,0.131586299,0.130569693,0.211596303,0.069226098,0.188034188,0.465811966
